Date,Day_of_Week,Is_Weekend,Year,Month,MonthName,Web_TotalUsers,Web_Sessions,Web_PageViews,Web_EngagedSessions,Web_NewUsers,Web_ReturningUsers,Web_EngagementRate,Web_BounceRate,Acq_New_users,Acq_Returning_users,Acq_Total_users,Acq_Sessions,Acq_Engagement_rate,Acq_Bounce_rate,Device_desktop,Device_mobile,Device_tablet,OS_Windows,OS_iOS,OS_Android,OS_Macintosh,OS_Linux,Browser_Chrome,Browser_Safari,Browser_Edge,Browser_Firefox,PT_Impressions,PT_Pin clicks,PT_Engaged audience,PT_Outbound clicks,PT_Saves,PT_Engagement rate,PT_Pin click rate,PT_Outbound click rate,PT_Save rate,PT_Total audience,PT_Engagement,Fa_reach,Fa_views,Fa_likes,Fa_total_engagement,In_reach,In_views,In_likes,In_total_engagement,Total_Device_Usage,Dominant_Device,Mobile_Percentage,Total_Social_Reach,Total_Social_Views,Total_Social_Engagement,Website_Activity_Level,PT_Level,Social_to_Web_Ratio,Digital_Footprint_Score,Web_TotalUsers_7day_avg,Total_Social_Engagement_7day_avg,PT_Engagement_7day_avg,Instagram_Posting_Time,Instagram_Posting_Hour,Instagram_Post_Count,Facebook_Posting_Time,Facebook_Posting_Hour,Facebook_Post_Count,Total_Posts_Today,Instagram_Peak_Time_Match,Facebook_Peak_Time_Match,Date_DMY
27/03/2024,Wednesday,0,2024,3,March,12,12,16,12,12,0,1,0,6,0,6,6,1,0,3,3,0,1,2,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,desktop,50,0,16,2,Medium,,0.75,13.6,12,2,0,,,0,,,0,0,FALSE,FALSE,27/03/2024
28/03/2024,Thursday,0,2024,3,March,51,51,75,24,51,0,0.470588235,0.529411765,17,0,17,17,0.470588235,0.529411765,14,3,0,1,2,1,12,1,14,2,0,0,54,1,1,0,0,0.018518519,0.018518519,0,0,46,1,0,0,0,0,0,0,0,0,17,desktop,17.64705882,0,75,1.959694989,High,Low,0.68,58.5,31.5,1.979847495,0.5,,,0,,,0,0,FALSE,FALSE,28/03/2024
29/03/2024,Friday,0,2024,3,March,36,36,68,32,36,0,0.888888889,0.111111111,9,0,9,9,0.888888889,0.111111111,2,7,0,0,5,2,2,0,2,4,0,0,38,1,1,0,0,0.026315789,0.026315789,0,0,33,1,0,0,0,0,0,0,0,0,9,mobile,77.77777778,0,68,2.804093567,High,Low,0.529411765,42.8,33,2.254596185,0.666666667,,,0,,,0,0,FALSE,FALSE,29/03/2024
30/03/2024,Saturday,1,2024,3,March,18,18,32,12,18,0,0.666666667,0.333333333,9,0,9,9,0.666666667,0.333333333,6,3,0,4,1,2,1,1,7,2,0,0,25,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,9,desktop,33.33333333,0,32,1.333333333,Medium,,0.5625,21.2,29.25,2.024280472,0.5,,,0,,,0,0,FALSE,FALSE,30/03/2024
31/03/2024,Sunday,1,2024,3,March,440,12,13320,8,456,0,0.666666667,0.333333333,114,0,110,3,0.666666667,0.333333333,1,2,0,0,1,1,1,0,1,2,0,0,34,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,mobile,66.66666667,0,13320,1.333333333,Very High,,0.033033033,1772,111.4,1.886091045,0.4,,,0,,,0,0,FALSE,FALSE,31/03/2024
01/04/2024,Monday,0,2024,4,April,414,60,10464,54,402,0,0.9,0.1,67,0,69,10,0.9,0.1,7,4,1,2,1,3,3,2,6,2,0,1,39,5,4,3,0,0.153846154,0.128205128,0.076923077,0,33,6,0,0,0,0,0,0,0,0,12,desktop,33.33333333,0,10464,7.953846154,Very High,Medium,0.03956422,1460.4,161.8333333,2.897383563,1.333333333,,,0,,,0,0,FALSE,FALSE,01/04/2024
02/04/2024,Tuesday,0,2024,4,April,50,50,90,35,50,0,0.7,0.3,10,0,10,10,0.7,0.3,5,5,0,2,3,2,2,1,3,4,1,1,29,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,10,desktop,50,0,90,1.4,High,,0.555555556,59,145.8571429,2.683471625,1.142857143,,,0,,,0,0,FALSE,FALSE,02/04/2024
03/04/2024,Wednesday,0,2024,4,April,8,8,16,8,8,0,1,0,4,0,4,4,1,0,4,0,0,1,0,0,3,0,3,1,0,0,18,2,2,0,2,0.222222222,0.111111111,0,0.111111111,18,4,0,0,0,0,0,0,0,0,4,desktop,0,0,16,6.222222222,Low,Low,0.5,9.6,145.2857143,3.286646228,1.714285714,,,0,,,0,0,FALSE,FALSE,03/04/2024
04/04/2024,Thursday,0,2024,4,April,1,1,2,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,53,3,3,0,1,0.075471698,0.056603774,0,0.018867925,37,4,0,0,0,0,0,0,0,0,1,mobile,100,0,2,6.075471698,Low,Low,0.5,1.2,138.1428571,3.87461433,2.142857143,,,0,,,0,0,FALSE,FALSE,04/04/2024
05/04/2024,Friday,0,2024,4,April,15,15,27,15,15,0,1,0,5,0,5,5,1,0,2,3,0,1,2,1,1,0,3,1,0,0,22,2,2,0,0,0.090909091,0.090909091,0,0,19,2,0,0,0,0,0,0,0,0,5,mobile,60,0,27,4.090909091,Medium,Low,0.555555556,17.7,135.1428571,4.058445119,2.285714286,,,0,,,0,0,FALSE,FALSE,05/04/2024
06/04/2024,Saturday,1,2024,4,April,3,3,6,2,3,0,0.666666667,0.333333333,3,0,3,3,0.666666667,0.333333333,1,2,0,1,2,0,0,0,3,0,0,0,33,2,1,0,1,0.090909091,0.060606061,0,0.03030303,29,3,106,0,3,3,148,0,0,12,3,mobile,66.66666667,254,6,19.42424242,Low,Low,0.5,3.6,133,6.642860703,2.714285714,18:27:00,18,1,18:27:00,18,1,2,TRUE,TRUE,06/04/2024
07/04/2024,Sunday,1,2024,4,April,24,27,48,21,24,3,0.777777778,0.222222222,8,1,8,9,0.777777778,0.222222222,3,6,0,1,5,1,2,0,2,6,1,0,29,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,9,mobile,66.66666667,0,48,1.555555556,Medium,,0.5,28.8,73.57142857,6.674606735,2.714285714,,,0,,,0,0,FALSE,FALSE,07/04/2024
08/04/2024,Monday,0,2024,4,April,16,16,22,12,10,4,0.75,0.25,5,2,8,8,0.75,0.25,5,3,0,4,2,1,1,0,6,2,0,0,32,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,8,desktop,37.5,0,22,1.5,Medium,,0.727272727,18.2,16.71428571,5.752628713,1.857142857,,,0,,,0,0,FALSE,FALSE,08/04/2024
09/04/2024,Tuesday,0,2024,4,April,40,40,60,25,40,0,0.625,0.375,8,0,8,8,0.625,0.375,5,3,0,4,2,1,0,1,3,1,1,2,26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,desktop,37.5,0,60,1.25,High,,0.666666667,46,15.28571429,5.731200142,1.857142857,,,0,,,0,0,FALSE,FALSE,09/04/2024
10/04/2024,Wednesday,0,2024,4,April,6,6,6,4,6,0,0.666666667,0.333333333,3,0,3,3,0.666666667,0.333333333,2,1,0,1,1,0,1,0,1,2,0,0,32,1,2,0,1,0.0625,0.03125,0,0.03125,29,2,0,0,0,0,0,0,0,0,3,desktop,33.33333333,0,6,3.395833333,Low,Low,1,6.6,15,5.3274303,1.571428571,,,0,,,0,0,FALSE,FALSE,10/04/2024
11/04/2024,Thursday,0,2024,4,April,14,14,38,10,14,0,0.714285714,0.285714286,7,0,7,7,0.714285714,0.285714286,3,4,0,1,3,1,2,0,4,3,0,0,25,1,1,0,0,0.04,0.04,0,0,23,1,0,0,0,0,0,0,0,0,7,mobile,57.14285714,0,38,2.468571429,Medium,Low,0.368421053,17.8,16.85714286,4.812158833,1.142857143,,,0,,,0,0,FALSE,FALSE,11/04/2024
12/04/2024,Friday,0,2024,4,April,51,51,66,24,48,3,0.470588235,0.529411765,16,1,17,17,0.470588235,0.529411765,13,3,1,11,3,1,2,0,13,3,0,0,30,1,1,0,0,0.033333333,0.033333333,0,0,24,1,0,0,0,0,0,0,0,0,17,desktop,17.64705882,0,66,1.974509804,High,Low,0.772727273,57.6,22,4.509816078,1,,,0,,,0,0,FALSE,FALSE,12/04/2024
13/04/2024,Saturday,1,2024,4,April,24,24,48,16,20,0,0.666666667,0.333333333,5,0,6,6,0.666666667,0.333333333,3,3,0,2,2,1,1,0,2,2,0,1,29,1,1,0,0,0.034482759,0.034482759,0,0,24,1,0,0,0,0,0,0,0,0,6,desktop,50,0,48,2.367816092,Medium,Low,0.5,28.8,25,2.073183745,0.714285714,,,0,,,0,0,FALSE,FALSE,13/04/2024
14/04/2024,Sunday,1,2024,4,April,4,4,8,4,4,0,1,0,2,0,2,2,1,0,0,2,0,0,0,2,0,0,1,0,0,0,36,1,1,0,0,0.027777778,0.027777778,0,0,25,1,0,0,0,0,0,0,0,0,2,mobile,100,0,8,3.027777778,Low,Low,0.5,4.8,22.14285714,2.283501205,0.857142857,,,0,,,0,0,FALSE,FALSE,14/04/2024
15/04/2024,Monday,0,2024,4,April,16,16,44,10,16,0,0.625,0.375,8,0,8,8,0.625,0.375,3,6,1,1,4,2,2,0,4,5,0,0,58,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,10,mobile,60,0,44,1.25,Medium,,0.363636364,20.4,22.14285714,2.247786919,0.857142857,,,0,,,0,0,FALSE,FALSE,15/04/2024
16/04/2024,Tuesday,0,2024,4,April,15,15,18,12,15,0,0.8,0.2,5,0,5,5,0.8,0.2,3,2,0,1,1,1,2,0,1,3,0,1,48,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,5,desktop,40,0,18,1.6,Medium,,0.833333333,16.8,18.57142857,2.297786919,0.857142857,,,0,,,0,0,FALSE,FALSE,16/04/2024
17/04/2024,Wednesday,0,2024,4,April,24,30,48,14,20,6,0.466666667,0.533333333,10,3,12,15,0.466666667,0.533333333,8,7,0,3,3,4,5,0,11,4,0,0,44,3,3,1,0,0.090909091,0.068181818,0.022727273,0,39,4,0,0,0,0,0,0,0,0,15,desktop,46.66666667,0,48,5.024242424,Medium,Low,0.5,28.8,21.14285714,2.530416789,1.142857143,,,0,,,0,0,FALSE,FALSE,17/04/2024
18/04/2024,Thursday,0,2024,4,April,42,45,57,18,39,3,0.4,0.6,13,1,14,15,0.4,0.6,9,6,0,4,6,0,5,0,7,6,2,0,49,2,1,0,0,0.040816327,0.040816327,0,0,25,2,0,0,0,0,0,0,0,0,15,desktop,40,0,57,2.840816327,High,Low,0.736842105,47.7,25.14285714,2.583594632,1.285714286,,,0,,,0,0,FALSE,FALSE,18/04/2024
19/04/2024,Friday,0,2024,4,April,18,24,57,18,12,6,0.75,0.25,4,2,6,8,0.75,0.25,3,5,0,3,0,5,0,0,6,0,0,1,51,2,2,0,1,0.058823529,0.039215686,0,0.019607843,34,3,118,0,8,8,122,0,0,17,8,mobile,62.5,240,57,29.55882353,Medium,Low,0.315789474,23.7,20.42857143,6.524210879,1.571428571,19:03:00,19,1,19:03:00,19,1,2,FALSE,FALSE,19/04/2024
